step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
13500	-112.166218276799356	-114.092921000301388	1.926702723502027	0.212776168026410	0.212776168026410	1.000000000000000	0.959095421772874	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	3	4	1	1	4	6	1	1	1	1	1	1	1	1	1	1	1	1	1
14000	-108.964894203054939	-110.986142753829810	2.021248550774868	0.234985945409462	0.234985945409462	1.000000000000000	0.969223914566153	0.000000000000000	16083	16089	16107	16112	16115	16124	16132	16135	16133	16139	16102	0	1	1	1	3	5	5	5	6	4	1	1	1	1	1	1	1	1	1	1	1	1
14500	-115.119207983327954	-116.909667529404899	1.790459546076941	0.151876497142219	0.151876497142219	1.000000000000000	0.944685851958211	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16132	16138	16102	0	1	2	1	4	5	5	4	4	7	2	1	1	1	1	1	1	1	1	1	1	1
15000	-108.052792357901041	-110.222653454776804	2.169861096875763	0.166414903107580	0.166414903107580	1.000000000000000	0.985361095394873	0.000000000000000	16083	16089	16107	16112	16117	16119	16131	16135	16133	16139	16102	0	1	1	1	3	5	6	3	1	8	1	1	1	1	1	1	1	1	1	1	1	1
15500	-112.990883148917177	-114.207306563020978	1.216423414103802	0.078488036815785	0.078488036815785	1.000000000000000	0.886313431313528	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16131	16138	16102	0	1	1	2	4	4	5	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1
16000	-112.368673478228018	-114.633496391466466	2.264822913238441	0.227277540932673	0.227277540932673	1.000000000000000	0.995812992310690	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	1	5	3	3	4	3	1	1	1	1	1	1	1	1	1	1	1	1
16500	-106.332263267386182	-108.535693073902692	2.203429806516510	0.159599907958023	0.159599907958023	1.000000000000000	0.989043213624062	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	1	5	6	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1
17000	-106.615767758655451	-108.395236984323191	1.779469225667739	0.180399573774354	0.180399573774354	1.000000000000000	0.943532956006909	0.000000000000000	16083	16089	16105	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	1	6	6	5	1	1	1	1	1	1	1	1	1	1	1	1
17500	-113.011590066781338	-114.603964157356245	1.592374090574904	0.112722248764980	0.112722248764980	1.000000000000000	0.924120935247665	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	3	1	5	5	6	6	6	1	1	1	1	1	2	1	1	1	1	1	1
18000	-104.434158725220030	-106.477970245643604	2.043811520423572	0.093350864463050	0.093350864463050	1.000000000000000	0.971656803999963	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	1	6	6	9	1	1	1	1	1	1	1	1	1	1	1	1
18500	-105.742447320503402	-108.024591364954887	2.282144044451482	0.095044264969170	0.095044264969170	1.000000000000000	0.997731349670032	0.000000000000000	16083	16089	16105	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	2	5	6	5	5	8	1	1	1	1	1	1	1	1	1	1	1	1
19000	-106.536251562962320	-107.993650254625422	1.457398691663109	0.050951407210537	0.050951407210537	1.000000000000000	0.910365055387448	0.000000000000000	16083	16087	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	1	5	9	1	1	1	1	1	1	1	1	1	1	1	1
19500	-112.009489632669997	-113.455058950815854	1.445569318145854	0.105234757122296	0.105234757122296	1.000000000000000	0.909169280488123	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	1	1	5	5	11	5	1	1	1	1	2	1	1	1	1	1	1	1	1
20000	-111.364101269091051	-113.617666361012255	2.253565091921203	0.262895371472149	0.262895371472149	1.000000000000000	0.994568139409999	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16101	0	1	1	1	3	2	6	3	3	8	1	1	1	1	1	1	1	1	1	1	1	1
20500	-111.339716658283905	-113.633310682143005	2.293594023859103	0.145122252901605	0.145122252901605	1.000000000000000	0.999001491160385	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	2	2	5	5	5	2	6	2	1	1	1	1	1	1	1	1	1	1	1
21000	-114.845220646278577	-117.102581843758983	2.257361197480408	0.376569844944257	0.376569844944257	1.000000000000000	0.994987726297232	0.000000000000000	16083	16088	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	3	2	5	2	1	3	5	1	1	1	1	1	1	1	1	1	1	1	1
21500	-114.322548151187803	-115.609240818863555	1.286692667675757	0.197906407622379	0.197906407622379	1.000000000000000	0.893260581441559	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	3	3	2	6	3	9	2	1	1	1	1	1	1	1	1	1	1	1
22000	-106.892255568243144	-108.704765115592977	1.812509547349829	0.125454040043947	0.125454040043947	1.000000000000000	0.947003169984722	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16132	16139	16102	0	1	1	1	1	5	1	7	6	9	1	1	1	1	1	1	1	1	1	1	1	1
22500	-104.059829913357774	-106.089992609291286	2.030162695933513	0.094446383045124	0.094446383045124	1.000000000000000	0.970184368207330	0.000000000000000	16083	16089	16107	16112	16117	16122	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	6	5	8	1	1	1	1	1	1	1	1	1	1	1	1
23000	-109.068973246807559	-111.046784957442839	1.977811710635274	0.113867823770274	0.113867823770274	1.000000000000000	0.964557404179511	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	2	1	5	6	1	9	2	1	1	1	1	1	1	1	1	1	1	1
23500	-113.166236863696355	-114.605021206273804	1.438784342577446	0.218223855363008	0.218223855363008	1.000000000000000	0.908484128633200	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	4	1	2	3	1	9	1	1	1	1	1	1	1	1	1	1	1	1
24000	-112.656589649833492	-114.518164792252051	1.861575142418560	0.191085108610003	0.191085108610003	1.000000000000000	0.952180076949065	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16133	16139	16102	0	1	1	2	1	3	6	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1
24500	-112.275101925513511	-113.515622014809182	1.240520089295671	0.243429256206458	0.243429256206458	1.000000000000000	0.888689633912226	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	4	3	3	5	1	9	1	1	1	1	1	1	1	1	1	1	1	1
25000	-107.461614075072362	-109.700522540190079	2.238908465117710	0.225473313482868	0.225473313482868	1.000000000000000	0.992949789292871	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	3	1	5	11	5	9	1	1	1	1	1	1	1	1	1	1	1	1
25500	-111.887561232714262	-113.684242402127850	1.796681169413587	0.307122926425864	0.307122926425864	1.000000000000000	0.945339131017802	0.000000000000000	16083	16087	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	2	5	5	5	1	4	1	1	1	1	1	1	1	1	1	1	1	1
26000	-108.954359286352187	-110.433256318721902	1.478897032369720	0.073770176639060	0.073770176639060	1.000000000000000	0.912542247812252	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16138	16102	0	1	1	2	1	1	6	11	1	9	1	1	1	1	1	1	1	1	1	1	1	1
